STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,STATISTICAL_OPERATION,Statistical operation,UNIT_MEASURE,Unit of measure,AGE,Age,METHODOLOGY,Methodology,DEFINITION,Definition,POVERTY_LINE,Poverty line,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals,PRICE_BASE,Price base,BASE_PER,Base period,CONF_STATUS,Confidentiality status
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2010,,11.3164722919464,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2011,,10.8058482408524,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2012,,11.2853042781353,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2013,,9.88629683852196,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2014,,9.02554839849472,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2015,,7.7805407345295,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2016,,8.82992967963219,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2017,,9.73459854722023,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2018,,10.0153915584087,,A,Normal value,,,,,1,One,,,,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUT,Austria,A,Annual,PR_INC_DISP,Poverty rate based on disposable income,_Z,Not applicable​​,PT_POP,Percentage of population,Y_GT65,Over 65 years,METH2012,Income definition since 2012,D_CUR,Current definition,PL_50,50% of the national median disposable income,2019,,10.1473942399025,,A,Normal value,,,,,1,One,,,,,,
