STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,OPTIONALITY,Optionality,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUS,Australia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,80.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUT,Austria,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,84.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BEL,Belgium,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,80.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CAN,Canada,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,56,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CHL,Chile,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,75.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,COL,Colombia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,84.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CRI,Costa Rica,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,65.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,84.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,116.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,EST,Estonia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,56.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,FIN,Finland,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,63.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,FRA,France,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,66.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DEU,Germany,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,57.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,GRC,Greece,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,99.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,HUN,Hungary,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,75.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ISL,Iceland,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,77.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,IRL,Ireland,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,56.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ISR,Israel,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,60,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ITA,Italy,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,70.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,JPN,Japan,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,61.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,KOR,Korea,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,55.4,,A,Normal value,0,Units,1,One
